station,total_docks,lon,lat,nearest_junior_high_distance,nearest_university_distance,nearest_mrt_distance,nearest_bus_distance,district
?寮公園,12,121.41264,25.00694,202.84,2739.24,1594.59,24.0,樹林區
三井Outlet,63,121.36629,25.07158,719.52,3419.78,7146.13,142.16,林口區
三俊街65巷口,15,121.41359,25.01585,928.99,1826.7,657.26,36.12,樹林區
三信集英路口,13,121.48748,25.08563,516.76,8219.2,910.77,103.05,三重區
三光國小(金滿意),45,121.49687,25.05596,109.54,6401.16,688.45,266.38,三重區
三和國中(自強路三段110巷),22,121.48694,25.0748,436.18,7487.52,205.96,27.73,三重區
三和慈愛街口,11,121.48417,25.07814,610.26,7455.65,266.15,34.31,三重區
三和路四段73號旁,15,121.48977,25.07513,341.02,7751.2,376.23,127.11,三重區
三和龍門路口,18,121.4949,25.0718,470.79,7793.33,222.29,61.04,三重區
三多國小,26,121.40701,25.01638,1166.99,2231.74,654.53,214.54,樹林區
三多第1市民活動中心,27,121.40426,25.01637,1325.89,2450.29,846.37,142.11,樹林區
三峽中山公園,15,121.36584,24.93561,339.84,1247.03,5896.53,89.35,三峽區
三峽區公所(三峽老街),33,121.36929,24.9339,62.34,1086.77,5677.14,81.55,三峽區
三峽區礁溪行政中心,20,121.37592,24.92843,441.86,1402.01,5460.95,73.28,三峽區
三峽原住民族生活文化園區,31,121.36672,24.94565,412.62,1127.92,5411.79,352.1,三峽區
三峽國中,33,121.369,24.9389,477.44,808.83,5452.64,30.04,三峽區
三峽國光青年社會住宅,30,121.37686,24.93743,343.86,399.63,4819.58,47.45,三峽區
三峽國小(中山路),21,121.36779,24.93474,120.96,1135.77,5765.19,102.41,三峽區
三張公園,45,121.49094,25.07051,195.46,7487.06,580.55,80.33,三重區
三張地下停車場,22,121.48981,25.07054,172.32,7442.03,694.26,139.16,三重區
三德公園,36,121.50076924045402,25.075005324200696,646.17,8390.59,634.65,48.94,三重區
三抱竹,34,121.44139,24.99864,719.44,1193.55,1109.2,17.96,板橋區
三樹大學路口,24,121.37816,24.93951,225.05,225.05,4592.96,11.39,三峽區
三樹大德路口,15,121.37871,24.94163,216.21,216.21,4436.8,54.7,三峽區
三民中山一路口,29,121.476,25.08223,378.58,7089.23,445.65,59.15,蘆洲區
三民地下停車場,24,121.53718,24.97097,517.76,517.76,562.37,3.75,新店區
三民民族路口,40,121.47494,25.08367,187.1,7118.22,259.79,91.94,蘆洲區
三民永豐街口,13,121.47917,25.02104,296.49,2385.09,1010.8,124.06,板橋區
三民翠華街口,10,121.48024,25.02317,480.86,2606.0,1054.36,124.24,板橋區
三民長榮路口,15,121.4616,25.09328,535.68,6486.59,310.56,46.76,蘆洲區
三民高中(民權路),45,121.47393,25.08802,345.15,7386.72,267.76,108.84,蘆洲區
三生步道,20,121.51005,25.26815,1410.99,1858.2,12865.45,58.62,三芝區
三芝兒一公園,15,121.4994,25.25719,217.53,573.09,11277.02,115.71,三芝區
三芝兒三公園(三民街),17,121.50499,25.25874,372.94,696.45,11705.7,162.13,三芝區
三芝區公所,15,121.50082,25.25788,57.2,581.56,11413.31,114.47,三芝區
三芝國中,14,121.50182,25.25898,119.41,681.57,11569.17,9.12,三芝區
三貂嶺隧道(金字橋),30,121.82316,25.06095,3871.68,16619.24,20648.42,16.33,瑞芳區
三重五常公園,32,121.49615,25.08065,1134.16,8618.23,1055.39,20.46,三重區
三重區停八停車場,17,121.47621,25.05365,634.41,5185.29,739.16,174.0,三重區
三重商工,77,121.48071,25.06868,457.24,6603.26,1049.29,23.98,三重區
三重商工(後竹圍街),30,121.47976,25.07031,558.65,6610.53,966.42,140.67,三重區
三重商工地下停車場,64,121.48352,25.06966,660.15,6903.78,822.88,88.16,三重區
三重國民運動中心,38,121.48849,25.05439,293.57,5787.51,402.95,27.18,三重區
三重忠孝公園,28,121.47932,25.06325,98.35,6205.39,965.57,69.33,三重區
三重棒球場,25,121.4815,25.0613,322.96,6168.63,673.14,157.49,三重區
三重永豐公園,31,121.47816,25.07463,111.28,6735.89,654.16,124.23,三重區
三重派出所,15,121.5023,25.06395,542.33,7441.23,230.93,55.84,三重區
三重環河陸橋,16,121.49943,25.08149,1337.69,8948.85,1236.71,230.35,三重區
三重社會福利服務中心,11,121.49128,25.07781,649.67,8035.0,491.68,98.52,三重區
三重綜合體育館,52,121.49193,25.06145,225.28,6640.11,101.07,80.88,三重區
三重行政中心,59,121.48823,25.06057,102.67,6375.49,264.0,82.91,三重區
三重親水公園,18,121.49039,25.09114,976.06,8833.5,1555.54,164.08,三重區
三重重陽公園,15,121.48367,25.05753,381.17,5869.35,203.98,216.08,三重區
三重高中,48,121.49171,25.05478,437.58,5996.25,504.84,202.61,三重區
三鶯分區區務辦公室,15,121.41691,24.99007,124.77,2801.62,3212.73,74.31,樹林區
三鶯國民運動中心,17,121.36858,24.93697,294.42,932.08,5581.91,113.34,三峽區
三鶯國民運動中心停車場,32,121.36941,24.93614,206.67,911.5,5548.38,18.33,三峽區
三鶯水資源回收中心,14,121.35996,24.95535,806.41,2319.15,5900.74,122.08,鶯歌區
上林里(環河東路一段),42,121.52095,25.015,330.02,4090.52,561.32,135.86,永和區
下庄市場,20,121.3999,25.14678,75.55,4786.07,5146.98,3.05,八里區
下街福德宮,19,121.65555,25.06807,329.91,9205.76,4013.0,57.91,汐止區
世貿國家公園社區,20,121.65865,25.07289,623.49,9816.89,4492.43,4.23,汐止區
中信停車場(中興街),17,121.51864,25.01228,92.88,3730.98,332.19,15.66,永和區
中信國小,58,121.44954,25.05572,508.71,3169.28,1218.58,169.12,新莊區
中印青潭廠,25,121.55947,24.95446,409.42,3302.3,2238.57,34.97,新店區
中原中板路口,18,121.48521,25.01169,226.79,2640.73,379.73,58.19,中和區
中原五街口,20,121.48603,25.01086,337.02,2717.03,331.25,63.49,中和區
中原抽水站,15,121.48968,25.00985,646.02,3081.69,564.43,132.87,中和區
中原東街(左岸牡丹園),51,121.48601,25.01297,139.82,2736.47,540.22,5.16,中和區
中和公園,57,121.51435,25.00073,479.83,2376.68,387.34,61.8,中和區
中和公園(安平中安街口),40,121.51258,24.99856,418.35,2097.95,454.47,117.04,中和區
中和公園(秀安街口),15,121.51498,25.00218,306.63,2549.25,405.49,30.29,中和區
中和區公所,32,121.50053,24.99856,525.25,2169.55,574.97,90.01,中和區
中和國民運動中心,64,121.48758,24.99348,657.25,2517.19,1288.08,25.03,中和區
中和地政事務所,28,121.5024,24.99039,87.28,1257.53,430.59,58.73,中和區
中和安和路口,44,121.50602,24.99966,235.34,2171.72,582.39,49.35,中和區
中和慈惠堂,15,121.47964,24.98153,582.96,2434.97,2801.14,527.96,中和區
中和環球購物中心,38,121.47422,25.00637,564.99,1567.32,925.44,73.57,中和區
中和福美公園,40,121.50265,25.00606,381.18,2922.44,753.91,105.77,中和區
中和自強公園,39,121.47238,24.99886,249.66,1798.94,1592.74,82.47,中和區
中和青年社會住宅,57,121.51918,24.99099,391.27,1659.92,313.1,46.07,中和區
中園國小,20,121.3667403505291,24.927562225588048,17.04,1800.7,6266.01,128.36,三峽區
中園國小(民權街),19,121.36767,24.92853,131.05,1659.23,6128.33,15.1,三峽區
中園街福隆宮,15,121.36717,24.92239,397.93,2282.48,6569.63,93.43,三峽區
中坑公園,13,121.48294,24.98515,95.53,2565.81,2307.05,63.96,中和區
中央中華路口(金城),16,121.43808,24.96875,527.36,1993.73,181.94,89.1,土城區
中央公園(莊園街),33,121.44565,24.98205,469.46,1489.56,476.23,40.21,土城區
中央公園地下停車場,15,121.44478,24.98276,446.91,1607.41,484.17,49.75,土城區
中央慶利街口(風華綠中央社區),22,121.44052,24.97338,125.09,1673.49,327.47,135.81,土城區
中央新村(中央三街),23,121.52488,24.9764,635.51,1168.39,623.23,123.33,新店區
中央昌仁路口,14,121.45355,25.05895,472.95,3705.36,691.03,110.31,新莊區
中央路一段292巷口,53,121.44383,24.98279,478.91,1684.62,561.75,11.58,土城區
中央路三段281巷,24,121.42679,24.96314,794.94,3263.18,758.78,95.47,土城區
中央路二段180巷,15,121.44162,24.97616,324.05,1588.06,413.34,34.52,土城區
中央路四段33號北側,15,121.42329,24.96222,883.2,2974.04,399.79,96.12,土城區
中央陸橋(中央一街),16,121.52736,24.97371,357.39,938.1,267.35,255.78,新店區
中山1號科技總部,42,121.41212396244534,24.96044660965163,592.13,2124.75,638.53,459.8,土城區
中山一和平路口,18,121.47162,25.07919,213.65,6535.05,731.34,42.71,蘆洲區
中山三民路口(土城工業區),40,121.42122,24.96287,1081.86,2754.1,316.93,45.55,土城區
中山二永安南路口,14,121.46868,25.07744,154.94,6184.97,1003.5,52.2,蘆洲區
中山佳林路口,26,121.38527,25.07923,150.52,1361.39,6717.85,93.63,林口區
中山八德街口,20,121.41761,24.98511,277.4,2524.2,2737.15,27.83,樹林區
中山北新春街口,49,121.44474,25.18035,272.89,864.51,1345.87,6.09,淡水區
中山國中,34,121.46751,25.01856,15.25,1302.09,410.27,215.81,板橋區
中山國小地下停車場,18,121.44859,25.0008,240.26,757.16,452.62,154.71,板橋區
中山大安路口,30,121.41182,24.98286,669.62,1898.95,2644.34,18.42,樹林區
中山文化二路口,17,121.37942,25.08288,568.95,1952.02,7387.35,48.54,林口區
中山新興街口,30,121.40049,24.97512,58.93,473.29,2514.03,82.62,樹林區
中山橋安街口,12,121.49253,25.00274,560.74,2941.64,322.68,26.96,中和區
中山溫泉公園,30,121.64177,25.22108,435.62,2385.92,15761.26,87.75,金山區
中山環金路口,30,121.6414,25.21794,102.81,2565.58,15414.07,147.06,金山區
中山科學研究院,14,121.35512,24.90328,1252.4,4725.96,8886.74,46.19,三峽區
中山立仁街口,21,121.42178,24.9886,265.82,3087.93,2727.58,104.44,樹林區
中山賢一街口,17,121.42144,25.15916,303.13,2273.83,2603.85,38.68,八里區
中山路31巷(波爾多2社區),40,121.52478,24.9803,778.97,1286.89,548.97,161.12,新店區
中山路一段17巷口,11,121.51375,25.01039,469.86,3410.47,325.12,70.11,永和區
中山路二段295巷口,20,121.47835,25.01851,137.9,2174.66,762.99,58.8,板橋區
中山路二段416巷38弄口,14,121.48153,25.01936,244.8,2503.94,1083.77,88.23,板橋區
中山路二段443巷口,23,121.48102,25.02051,380.16,2516.32,1111.53,123.32,板橋區
中山路二段565巷,15,121.48402,25.02263,573.6,2895.25,1387.65,165.06,板橋區
中山路二段90巷,13,121.47523,25.01634,259.43,1786.67,367.03,73.99,板橋區
中平中榮街口,17,121.44464,25.05307,211.11,2595.31,1595.92,72.32,新莊區
中平國中,50,121.44394,25.05426,100.33,2615.98,1695.98,20.13,新莊區
中正一仁愛路口,15,121.3532,24.95672,363.19,2940.83,6572.87,41.39,鶯歌區
中正仁愛街口,48,121.44462,25.03452,356.01,2164.62,811.09,26.14,新莊區
中正保安街三段口,11,121.41274,25.01239,806.45,2196.86,997.36,70.5,樹林區
中正北路193巷(愛買三重店),37,121.47599,25.07136,530.2,6350.75,1068.81,221.91,三重區
中正北路25巷(交響院社區),40,121.49185,25.06318,156.77,6803.66,292.96,117.36,三重區
中正北重陽路口,12,121.48736,25.06417,292.78,6695.62,597.75,42.54,三重區
中正千歲街口,17,121.42756,24.99948,159.01,2242.64,2505.83,269.0,樹林區
中正國小,36,121.53646,24.9714,464.49,464.49,647.73,54.41,新店區
中正思源路口(東北側),45,121.46103,25.03938,399.26,3306.92,36.1,129.82,新莊區
中正思源路口(西南側),46,121.4595,25.03821,199.41,3165.59,172.88,10.02,新莊區
中正新月二街口(富江翠社區),40,121.45437,25.02586,172.66,1821.8,1144.68,27.1,板橋區
中正新月二街口(青翠社區),40,121.45472,25.0269,55.7,1929.36,1037.82,90.58,板橋區
中正新雅巷口,48,121.41769,25.02594,158.27,732.52,575.93,13.94,新莊區
中正東路一段81巷,15,121.45311,25.16205,331.57,1339.3,972.66,54.26,淡水區
中正橋,40,121.51681,25.01776,598.58,4274.39,416.73,112.82,永和區
中正橋(環河西路一段),24,121.51553,25.01803,493.74,4278.39,423.51,231.76,永和區
中正民權路口,92,121.5336,24.98263,524.28,834.71,628.67,82.98,新店區
中正淡海路口,15,121.42422,25.17779,462.58,1231.68,2389.23,24.59,淡水區
中正路144巷口,15,121.5419,24.97148,454.42,714.77,389.02,28.91,新店區
中正路145巷口,18,121.4566,25.01587,440.63,688.53,599.45,73.34,板橋區
中正路161巷口,56,121.49935,24.99299,444.99,1658.21,531.5,56.49,中和區
中正路242巷口,13,121.51634,24.99816,467.45,2174.9,693.25,18.94,永和區
中正路248巷口,10,121.41774,25.00717,531.1,2544.45,1708.84,49.09,樹林區
中正路284巷,29,121.53842,24.9747,222.5,222.5,469.9,85.06,新店區
中正路347巷口,13,121.44718,25.03403,364.77,2401.92,579.61,120.4,新莊區
中正路399巷口,22,121.53455,24.9771,254.58,254.58,635.47,95.68,新店區
中正路465巷,17,121.51591,25.00587,132.75,2969.41,632.19,112.93,永和區
中正路666巷口,10,121.51917,25.00913,306.85,3415.15,564.37,151.49,永和區
中正路883巷口,14,121.41682,25.02491,218.0,868.49,503.36,73.2,新莊區
中正雙鳳路口,16,121.41803,25.0272,250.31,638.68,474.94,77.41,新莊區
中港國小,58,121.44783,25.04563,145.23,2545.22,1136.53,47.94,新莊區
中港大排願景館,57,121.45165,25.05894,546.64,3549.34,868.77,58.95,新莊區
中港平面停車場,21,121.45271,25.04485,351.17,3006.64,934.21,61.16,新莊區
中湖市民活動中心,20,121.34721,24.97285,313.73,4620.56,7325.86,3.61,鶯歌區
中興中正路口,30,121.54617,24.96991,509.86,1166.11,496.39,106.2,新店區
中興中正路口(泰坤建設),50,121.44933,25.03564,93.63,2655.18,322.07,32.52,新莊區
中興公園,17,121.50061,24.98805,229.36,1135.03,746.68,240.83,中和區
中興北街175巷口,36,121.4696,25.05595,467.71,4987.36,1065.29,26.24,三重區
中興北街42巷17弄,28,121.46892,25.05006,483.41,4598.84,464.08,153.41,三重區
中興寶慶街口,49,121.54195,24.98694,819.32,1380.32,382.14,47.83,新店區
中興寶橋路口,61,121.54687,24.97618,525.73,1053.85,404.18,26.89,新店區
中興工建路口,20,121.63535,25.06128,465.43,7388.82,1842.86,35.21,汐止區
中興復興路口,12,121.48182,25.09016,445.15,8117.4,973.08,108.66,蘆洲區
中興文化路口(東南側),19,121.5445,24.98037,137.1,971.95,305.83,43.85,新店區
中興橋(環河南路254巷口),26,121.49138,25.05052,712.03,5586.62,897.13,27.33,三重區
中興檳榔路口,13,121.54185,24.96337,228.85,1462.98,453.28,59.28,新店區
中興福德三路口,10,121.63077,25.06641,488.72,7658.04,1613.48,68.47,汐止區
中興街180巷口,18,121.49985,24.99098,250.35,1442.36,564.71,122.83,中和區
中興路2段100巷口,21,121.5475,24.97136,713.05,1209.81,604.7,20.18,新店區
中興路二段37巷口,20,121.4624,25.0754,826.33,5571.16,1545.53,131.84,五股區
中華中原路口,64,121.45178,25.05423,288.6,3275.64,958.36,136.7,新莊區
中華中央路一段242巷口,38,121.44348,24.98551,378.81,1908.68,517.19,47.88,土城區
中華城林路口,30,121.43883,24.97525,25.27,1852.71,566.44,78.38,土城區
中華愛國路口,10,121.37462,24.9327,315.84,948.03,5288.02,12.68,三峽區
中華日新街口,10,121.44463,24.98756,344.93,1998.31,468.18,172.36,土城區
中華自治街口,46,121.4533,25.04775,410.09,3139.01,733.53,37.63,新莊區
中華街57巷口,17,121.66763,25.07148,186.47,10305.54,5285.8,111.34,汐止區
中華裕華街口,13,121.4472,24.99003,459.02,1953.3,462.11,138.01,土城區
中華路12巷口,20,121.42111571570142,24.982608838794,266.21,2710.51,2296.32,89.78,樹林區
中華路379巷口,14,121.41239,24.97986,690.65,1782.45,2309.93,109.63,樹林區
中華路一段70巷口,12,121.4454,24.98825,337.09,2011.93,442.06,85.57,土城區
中華郵政五城郵局,15,121.47917,24.94483,811.29,3073.42,4690.12,121.86,新店區
中華郵政玫瑰城郵局,16,121.49674,24.94702,390.29,1287.96,4289.5,133.55,新店區
中華里(中華路二段),48,121.45367,25.04619,296.96,3131.62,771.35,12.58,新莊區
中華電信學院,9,121.46684,25.00801,345.18,801.62,719.75,109.27,板橋區
中華電信板橋雲端資料中心,45,121.45825,24.9953,487.1,1600.19,672.31,52.67,板橋區
中角灣,28,121.63234,25.239,67.59,1248.8,17225.72,188.95,金山區
中誠立體停車場,10,121.45137,25.04757,330.13,2946.89,925.69,134.99,新莊區
丹鳳國小,15,121.41336,25.0246,123.31,1186.89,242.72,36.42,新莊區
丹鳳派出所,23,121.41466,25.02769,311.93,949.65,610.38,59.75,新莊區
九芎街90巷口,15,121.46567,25.08024,528.88,6186.59,933.14,103.33,蘆洲區
二橋派出所,11,121.33884,24.94216,258.52,3816.69,8231.2,57.55,鶯歌區
二橋虹橋公園,10,121.32595,24.93453,1098.03,5165.03,9704.13,53.66,鶯歌區
二重國中,38,121.48047,25.06596,194.49,6440.57,1183.44,45.19,三重區
二重國小,43,121.47766,25.06598,176.64,6190.12,1311.41,59.38,三重區
二重埔市民活動中心,30,121.47492,25.06622,430.88,5960.73,1474.29,82.69,三重區
五堵橋下籃球場,17,121.66558,25.07553,474.4,10494.73,5247.7,10.78,汐止區
五堵火車站,66,121.66764,25.07823,204.83,10857.03,5546.0,26.24,汐止區
五堵車站(長安路),13,121.66821,25.07813,153.59,10886.79,5595.54,42.79,汐止區
五峰國中,34,121.54311,24.96601,193.74,1258.69,252.44,154.01,新店區
五工二五工一路口(泰博科技),20,121.45362,25.07155,1374.92,4655.08,1271.68,122.49,五股區
五工五五權路口,18,121.4497,25.0665,1383.02,3972.73,1153.63,166.91,五股區
五工路68巷口,25,121.458836,25.062942,874.31,4396.38,180.01,13.75,新莊區
五權一五工三路口,20,121.45797,25.06593,1172.06,4530.45,518.37,42.8,新莊區
五權公園地下停車場,25,121.46463,24.99265,223.2,1972.95,1372.5,12.12,板橋區
五福里(五華街),39,121.4939,25.08173,1141.44,8491.44,914.51,56.29,三重區
五股國民運動中心,22,121.44832,25.09537,255.23,5254.58,1651.89,6.05,五股區
五股工商立體停車場,22,121.43955,25.08245,144.12,4120.83,2700.13,51.4,五股區
五股戶政事務所,30,121.44561,25.09155,760.1,4874.86,1878.66,69.57,五股區
五股環保藝術公園(芳洲路),18,121.44308,25.08425,523.44,4488.48,2295.3,142.63,五股區
五股郵局,30,121.45098,25.10165,501.39,5753.63,1723.79,52.94,五股區
井泉公園,25,121.35665,25.0697,241.7,4409.57,7650.33,129.77,林口區
亞東醫院,61,121.45318,24.99837,317.82,1152.65,64.26,70.74,板橋區
亞洲員安路口,38,121.43485,24.97256,477.09,2247.84,594.13,20.43,土城區
仁信段平面停車場,12,121.49629,25.07914,1005.88,8543.31,945.41,156.35,三重區
仁信段平面停車場(元信一街),30,121.49692,25.07791,948.32,8490.79,808.03,214.29,三重區
仁化文新路口,36,121.47928,25.03486,582.7,3461.24,730.2,162.13,板橋區
仁愛仁和街口,15,121.49569,25.07354,550.39,8001.68,337.57,13.82,三重區
仁愛仁政街145巷口,18,121.49219,25.07949,852.23,8211.75,638.66,11.25,三重區
仁愛信義路口,20,121.51269,25.01329,322.25,3712.67,277.98,56.77,永和區
仁愛公園,79,121.50542,25.00952,154.03,3269.49,971.14,49.07,永和區
仁愛公園(仁愛路),15,121.50796,25.01138,147.54,3467.52,769.78,31.33,永和區
仁愛廣場,44,121.47162,25.09057,228.1,7425.75,553.48,156.14,蘆洲區
仁愛文化二路口,55,121.37354,25.0777,492.06,2554.89,7279.05,64.68,林口區
仁愛街112巷,26,121.49488,25.07486,576.39,8095.57,503.24,79.41,三重區
仁愛街422巷口,17,121.49026,25.08153,947.24,8174.54,632.57,207.14,三重區
仁愛街458巷口,23,121.49015,25.08211,903.96,8202.13,679.12,142.03,三重區
仁愛街70巷口,32,121.47126,25.09398,308.66,7454.76,689.21,21.76,蘆洲區
仁愛路151巷口,59,121.6641,25.0652,345.84,9559.79,4744.98,84.28,汐止區
仁愛路306巷18弄口,13,121.50303,25.00888,276.01,3225.57,991.99,110.76,永和區
仁愛路40巷口,23,121.51416,25.01346,397.99,3753.84,141.12,20.66,永和區
仁愛路62巷(14&24弄口),29,121.45998,24.99821,338.66,1277.42,720.34,234.41,板橋區
仁美街/三和路四段145巷口,12,121.48636,25.07872,827.38,7673.97,193.44,181.37,三重區
仁義街26巷,17,121.49811,25.0774,884.2,8494.94,764.29,137.92,三重區
仁義街37巷元富一街口,40,121.5003,25.07785,943.55,8643.09,879.21,223.76,三重區
介壽國小,26,121.37912,24.93026,684.34,1221.62,5081.86,16.3,三峽區
介壽街/文化路一段188巷9弄口,16,121.46856,25.01979,165.45,1474.81,270.76,207.95,板橋區
伊吉邦社區,40,121.4134,25.03019,523.42,1062.25,854.83,52.56,新莊區
伯爵山莊第二期(康寧街),15,121.6384,25.07299,581.98,8665.64,2643.36,112.41,汐止區
佳和公園,27,121.5032,25.00694,281.01,3009.74,856.48,76.97,中和區
佳和公園(中山路二段64巷5弄),26,121.50186,25.00435,334.31,2751.76,591.03,111.61,中和區
佳和公園(中山路二段64巷7弄),15,121.50358,25.00492,320.19,2781.91,775.3,69.96,中和區
佳園大成路口,14,121.38362,24.94487,820.82,820.82,3836.01,36.39,樹林區
佳園學成路口,22,121.385,24.94695,962.31,1067.47,3617.88,30.57,樹林區
佳園路三段101巷80弄口,15,121.39488,24.94984,1057.4,2081.15,2574.41,100.67,樹林區
佳林國中(文化一路),18,121.38353,25.08141,151.31,1526.18,7016.77,115.62,林口區
俊興三龍街口,21,121.41828,25.01713,445.54,1473.3,832.82,28.54,樹林區
俊興俊安街口,15,121.41691,25.01187,847.14,2068.59,1206.01,51.17,樹林區
俊英俊保路口,20,121.42487,25.0091,1176.47,2254.99,1941.9,39.8,樹林區
俊英大安路口,14,121.42818,25.00379,632.56,2035.33,2516.1,140.79,樹林區
俊英街125巷口,15,121.42446,25.0108,983.13,2064.62,1772.28,29.22,樹林區
俊英街219巷口,17,121.42365,25.01294,732.43,1826.08,1545.09,140.82,樹林區
保安保福路二段口,14,121.5087,25.01497,275.54,3867.73,684.83,74.96,永和區
保安永平路口,47,121.50604,25.01233,366.39,3577.53,946.67,112.21,永和區
保安立體停車場,12,121.42652,24.99334,546.44,2677.25,2395.47,62.76,樹林區
保平永和路一段口,14,121.5134,25.00746,416.52,3083.62,616.5,113.33,永和區
保平路214巷,25,121.50921,25.00701,380.68,2984.93,544.79,87.05,永和區
保平路268巷,13,121.50857,25.00532,430.99,2794.71,406.62,51.34,永和區
保福保福路二段133巷口,14,121.5097,25.01422,241.11,3788.1,579.0,131.65,永和區
保長公園,66,121.67434,25.07952,485.14,11418.47,6227.82,51.51,汐止區
保長路51巷口,21,121.67382,25.0784,424.35,11292.18,6136.37,98.59,汐止區
保順環河西路口,69,121.50285,25.01135,453.96,3499.93,1201.33,35.9,永和區
信義公園,32,121.49875,25.0648,185.37,7316.85,255.67,171.79,三重區
信義公園市民活動中心,49,121.45713,24.99181,564.77,1983.51,861.11,12.53,板橋區
信義和平路口,15,121.45721,24.99455,553.93,1692.04,636.87,92.75,板橋區
信義文化三路口,24,121.37541,25.08214,186.54,2347.08,7566.19,49.64,林口區
信義路163巷口,17,121.45848,24.99271,410.27,1886.93,869.88,105.84,板橋區
修德國小,34,121.49045,25.0653,190.18,6945.47,553.4,67.5,三重區
修德國小(重陽路三段),22,121.48895,25.0662,18.15,6968.2,703.73,85.71,三重區
健華新城社區,72,121.4653,25.01927,226.7,1236.88,430.65,52.04,板橋區
僑中二街92巷口,21,121.44632,25.00879,211.19,211.19,1264.68,32.94,板橋區
億光電子(樹林高中),41,121.4236,24.98356,14.18,2982.32,2227.45,51.97,樹林區
元信二仁愛街口,20,121.49417,25.07709,694.95,8243.81,760.58,118.28,三重區
元富一街/仁義街79巷口,15,121.49955,25.08006,1179.59,8824.26,1085.38,172.44,三重區
元氣大鎮社區,29,121.479,25.00572,308.87,2052.99,599.83,33.03,中和區
先嗇宮,30,121.47601,25.05119,376.24,4921.15,690.66,60.82,三重區
光之公園,21,121.48667,25.01184,274.68,2788.74,457.65,142.32,中和區
光寶科技中和數位大樓,40,121.48761,25.00214,321.66,2992.65,399.96,54.67,中和區
光復中興北街175巷口(西北側),18,121.47205,25.05676,674.31,5250.04,1143.57,44.22,三重區
光復光榮巷口,13,121.48473,25.02139,462.02,2892.85,1444.41,47.38,板橋區
光復國小,38,121.48169,25.01501,310.73,2352.59,774.88,66.13,板橋區
光復興德路口(東南側),18,121.4721,25.05251,514.94,4940.37,673.23,75.75,三重區
光復街/中山路二段412巷口,15,121.48399,25.01902,193.39,2715.08,1179.86,34.69,板橋區
光復路一段15巷口,17,121.47213,25.04751,188.7,4407.67,139.15,56.95,三重區
光復路一段99巷口,18,121.47209,25.05109,375.98,4788.03,516.59,46.96,三重區
光復路二段42巷口,18,121.47203,25.05452,727.44,5154.42,894.99,45.94,三重區
光復高中,37,121.48258,25.01735,43.27,2515.47,1006.7,99.65,板橋區
光明停車場,15,121.3741,24.93036,181.05,1213.41,5478.61,77.54,三峽區
光明市場,27,121.49181,25.05734,450.43,6241.62,227.81,214.54,三重區
光明橋,14,121.34128,24.95577,167.58,3927.25,7778.24,161.78,鶯歌區
光明育智路口,14,121.3456,24.95587,190.42,3541.36,7342.74,16.34,鶯歌區
光明街,27,121.54009,24.96316,194.71,1429.01,482.09,27.22,新店區
光明路69巷口,17,121.37726,24.92918,524.21,1317.87,5303.3,41.44,三峽區
光榮國中(秀江街),20,121.49994,25.07221,325.08,8080.12,369.59,128.57,三重區
光興國小,30,121.49978,25.06027,165.13,6960.95,304.0,158.09,三重區
光華公園,25,121.41306,25.00557,48.64,2862.16,1751.02,44.04,樹林區
光華東帝士,40,121.42784,25.0108,1119.79,2056.68,2018.28,35.69,新莊區
光華橋(保平路),31,121.50779,25.00467,443.12,2721.36,409.03,94.21,中和區
光華長榮路口,16,121.46407,25.08188,454.62,6212.52,968.23,63.37,蘆洲區
全球傳動科技公司,20,121.41496,25.0073,312.91,2613.33,1600.09,165.91,樹林區
八安大橋(清水街),10,121.36891,24.92701,211.34,1743.47,6120.98,190.33,三峽區
八德中華路口,15,121.42002,24.98144,213.26,2559.33,2272.07,73.73,樹林區
八德公園,14,121.47482,25.02378,327.58,2229.56,614.02,214.15,板橋區
八德文化三路口,26,121.35992,25.06597,415.54,4238.5,7125.53,118.6,林口區
八德立體停車場,14,121.42532,25.02271,188.59,753.17,723.99,65.47,新莊區
八德街東豐街口,12,121.41946,24.97427,426.57,2333.31,1559.21,693.49,樹林區
八德路500巷,20,121.35626,25.06715,46.87,4534.46,7484.87,243.98,林口區
八里中庄市場綜合大樓,28,121.41407,25.15993,552.96,2757.57,3283.26,27.7,八里區
八里停五平面停車場,30,121.41758,25.15779,416.82,2648.17,3021.14,182.34,八里區
八里區民活動中心,14,121.40126,25.14933,267.87,4499.35,4900.89,115.09,八里區
八里國小,15,121.4026,25.14896,343.65,4421.98,4796.13,33.84,八里區
八里左岸自行車道(4.4K福德宮),15,121.44789,25.14315,1031.24,3323.41,1352.24,85.28,八里區
八里文化公園(棒球場),60,121.41251,25.16359,743.59,2672.47,3357.24,190.36,八里區
八里文昌五街,16,121.41342,25.15592,837.23,3093.58,3486.94,177.88,八里區
八里福朋喜來登酒店,30,121.42945,25.15922,1034.88,1853.11,1871.23,73.61,八里區
八里行政中心,20,121.40721,25.15397,1054.12,3709.31,4147.88,55.45,八里區
公五公園,39,121.44529,25.08655,833.88,4737.71,2000.08,187.27,五股區
公八停車場,15,121.34285,24.95515,339.37,3754.65,7623.77,92.33,鶯歌區
六合公園,44,121.48759,25.0695,375.58,7245.54,797.02,119.21,三重區
六張公園,42,121.49405,25.06966,331.91,7542.85,288.74,119.9,三重區
