station,total_docks,lon,lat,nearest_junior_high_distance,nearest_university_distance,nearest_mrt_distance,nearest_bus_distance,district
秀得里(成功路二段),28,121.52673,25.00071,261.91,2960.9,1139.51,85.89,永和區
秀朗國小,48,121.52278,24.99896,189.21,2575.2,961.23,11.17,永和區
秀朗成功路口,51,121.52655,24.9956,460.77,2439.22,575.28,73.24,中和區
秀朗路三段10巷12弄,17,121.52567,24.99719,263.09,2610.23,740.6,85.97,中和區
秀朗路二段24巷16弄24號,14,121.52007,25.00239,201.2,2760.19,917.86,158.14,永和區
程氏古厝,15,121.42902,25.18921,727.24,188.88,2859.11,121.09,淡水區
稚匯公園(華江三路),19,121.47255,25.03562,487.7,3187.92,493.5,104.26,板橋區
穀保家商,33,121.47103,25.0681,231.67,5734.2,1346.69,36.21,三重區
積穗國中,33,121.47808,24.99977,13.04,2206.95,1139.47,12.94,中和區
立功公園,14,121.35858,25.06763,240.84,4296.52,7350.62,270.32,林口區
立德公園,30,121.36762,25.07639,666.28,3166.05,7488.38,52.6,林口區
立德青雲路口,40,121.46102,24.9883,526.37,1680.76,1209.66,111.43,土城區
立泰里(中環路二段),25,121.44213,25.04568,111.04,1996.23,1472.0,55.93,新莊區
立言公園,31,121.36281,25.07324,555.37,3709.13,7512.51,130.88,林口區
竹圍公園,26,121.4634,25.13823,317.21,4182.16,397.54,30.51,淡水區
竹圍國小,28,121.45989,25.14638,463.39,3209.66,906.7,17.89,淡水區
竹林一文化一路口,15,121.38538,25.08565,590.0,1441.57,7316.55,107.74,林口區
竹林山觀音寺,20,121.38983,25.08452,381.62,980.06,6987.88,49.3,林口區
竿蓁市民活動中心,25,121.45069,25.16504,735.47,940.17,578.58,22.34,淡水區
築禾樂社區,15,121.38552,25.08859,874.85,1580.31,7592.96,112.65,林口區
簡仔舍街(河家歡社區),40,121.48652,25.05138,611.97,5398.41,515.09,116.39,三重區
綠湖公園,44,121.54751,24.97756,479.6,1137.78,496.07,101.69,新店區
綠湖公園地下停車場,27,121.54613,24.97956,278.62,1072.79,458.8,154.51,新店區
縣民大道三段270巷口,11,121.47835,25.02323,342.72,2456.87,921.74,42.96,板橋區
縣民富山街口,10,121.47605,25.02201,134.33,2190.93,759.64,44.25,板橋區
縣民板城路口,40,121.45325,25.00392,324.15,672.62,558.61,182.01,板橋區
縣民民族路口,49,121.461,25.01,195.05,195.05,191.39,84.12,板橋區
縣民民生路口,13,121.47072,25.01836,330.87,1518.19,455.7,65.58,板橋區
縣民漢生東路口,71,121.46779,25.01578,325.13,1108.38,297.02,149.61,板橋區
縣民漢生東路口(西北側),36,121.46624,25.01531,395.14,954.5,133.16,179.4,板橋區
縣民觀光街口,12,121.4692,25.01702,255.5,1305.34,413.75,35.97,板橋區
美麗新淡海影城,41,121.43878,25.19783,990.92,1250.49,3356.23,25.02,淡水區
群光公園,15,121.47404,25.05604,864.86,5371.32,936.25,44.57,三重區
義仁市民活動中心,20,121.42767,25.05048,355.31,1253.51,2095.87,103.72,泰山區
義學國小,25,121.43167,25.05176,116.42,1561.39,2124.66,300.8,泰山區
義山新市一路口,25,121.43736,25.18623,710.28,990.36,2159.01,101.48,淡水區
翔譽雙子星,36,121.49292,25.05364,365.09,5959.48,653.96,26.86,三重區
翡翠灣,38,121.68353,25.18676,1214.35,8041.36,14055.94,9.55,萬里區
翡翠灣停車場,54,121.68493,25.19117,1326.99,7851.13,14537.81,110.44,萬里區
聖約翰科技大學,30,121.45166,25.2275,778.3,619.29,6615.6,44.86,淡水區
聖若望平面停車場,15,121.45188,25.01068,334.79,525.61,734.12,200.76,板橋區
聯合醫院板橋院區,52,121.45789,25.02406,278.45,1587.77,930.45,88.41,板橋區
聯邦公園,54,121.48371,25.06445,377.87,6576.54,877.32,162.93,三重區
育德國小,20,121.3925,24.97062,63.87,476.94,2891.38,73.25,樹林區
育英建國路口,12,121.34693,24.95356,118.07,3307.1,7225.67,58.02,鶯歌區
胡璉故居紀念館,10,121.52763,24.96171,1324.79,1779.21,1091.47,1.53,新店區
自強溪尾街口,52,121.49016,25.07822,683.5,7963.47,394.91,27.36,三重區
自強臨時平面停車場,21,121.49515,25.08229,1246.54,8630.89,1053.48,54.81,三重區
自然公園,36,121.48799,25.08984,695.16,8555.68,1293.9,51.13,三重區
致理科技大學,31,121.46271,25.02025,329.36,1231.4,552.08,135.11,板橋區
臺北大學(音律資訊大樓),55,121.36992,24.94278,598.35,708.51,5203.72,190.31,三峽區
臺北大學公共事務大樓(公政大道),23,121.37121,24.94325,542.69,604.12,5063.61,210.22,三峽區
臺北大學公共事務大樓(法商大道),44,121.37212,24.94363,446.66,543.17,4962.92,210.64,三峽區
臺北大學商學院(尋鳶大道),11,121.37249,24.94557,296.93,658.72,4857.53,72.18,三峽區
臺北大學商學院(法商大道),26,121.37146,24.94499,417.13,686.44,4976.23,184.58,三峽區
